Course,Term,Enroll #,Evals Made,Recommend Class,Recommend Instructor,Study Hours (hrs/wk),Avg Grade Expected/Received,Difficulty Score,Difficulty
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP21,113,36,85.3,73.5,11.47,B+ (3.39) / B+ (3.38),34.61,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP21,149,70,83.8,72.1,10.65,B+ (3.47) / B+ (3.36),34.150000000000006,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),SP21,48,21,76.2,75.0,11.26,B (3.08) / B+ (3.47),45.48,Moderate
DSC 40A - Theor Fndtns of Data Sci I (B),SP21,45,10,77.8,77.8,9.7,B+ (3.38) / B+ (3.40),29.7,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP21,57,24,100.0,87.0,5.98,B+ (3.61) / B+ (3.65),19.14,Very Easy
DSC 80 - Practice of Data Science (A),SP21,183,65,98.4,100.0,12.11,B+ (3.56) / B+ (3.67),39.62999999999999,Easy
DSC 90 - Seminar in Data Science (A),SP21,11,8,100.0,100.0,1.75,N/A / N/A,45.25,Moderate
DSC 95 - Tutor Appshp in Data Science (A),SP21,7,5,100.0,100.0,1.7,N/A / N/A,45.1,Moderate
DSC 10 - Principles of Data Science (A),WI21,78,35,85.7,85.7,7.76,B+ (3.59) / B (3.28),29.480000000000004,Easy
DSC 10 - Principles of Data Science (B),WI21,86,39,94.6,89.2,6.61,B+ (3.48) / B+ (3.55),21.93,Easy
DSC 100 - Intro to Data Management (A),WI21,143,96,92.6,85.1,5.95,A- (3.79) / B+ (3.63),21.05,Easy
DSC 102 - Systems for Scalable Analytics (A),WI21,134,80,88.6,91.0,8.83,B+ (3.58) / B+ (3.55),27.090000000000003,Easy
DSC 106 - Intro to Data Visualization (A),WI21,43,16,87.5,81.3,3.88,B+ (3.69) / A- (3.96),19.74,Very Easy
DSC 120 - Signal Processing/Data Analys (A),WI21,21,7,71.4,85.7,9.36,B (3.20) / B+ (3.62),40.67999999999999,Moderate
DSC 140A - Probabilistic Modeling and ML (A),WI21,149,48,21.3,21.3,7.1,B (3.30) / B+ (3.52),27.90000000000001,Easy
DSC 180B - Data Science Project II (A),WI21,78,26,100.0,100.0,11.38,A- (3.88) / A- (3.93),35.64000000000001,Easy
DSC 180B - Data Science Project II (B),WI21,120,28,96.2,96.2,7.91,A- (3.70) / A- (3.95),31.23,Easy
DSC 180B - Data Science Project II (C),WI21,17,6,75.0,75.0,16.5,B+ (3.60) / N/A,89.5,Very Difficult
DSC 190 - Topics in Data Science (A),WI21,28,13,83.3,83.3,6.04,A- (3.75) / A- (3.84),20.819999999999997,Easy
DSC 190 - Topics in Data Science (B),WI21,28,15,100.0,100.0,5.36,A- (3.79) / A- (3.82),16.979999999999993,Very Easy
DSC 190 - Topics in Data Science (C),WI21,5,5,100.0,100.0,5.3,A- (3.80) / N/A,55.9,Moderate
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI21,169,88,90.6,85.4,9.9,B+ (3.46) / B+ (3.55),32.39999999999999,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),WI21,136,51,90.0,92.0,11.97,B+ (3.64) / B+ (3.36),41.510000000000005,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),WI21,44,34,88.2,79.4,10.15,B (3.24) / B (3.06),34.050000000000004,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI21,80,62,96.8,98.4,6.34,B+ (3.67) / A- (3.73),20.82,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),WI21,40,27,100.0,100.0,5.5,A- (3.92) / B+ (3.69),21.1,Easy
DSC 90 - Seminar in Data Science (A),WI21,10,3,0.0,0.0,1.5,N/A / N/A,44.5,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI21,13,11,100.0,100.0,1.95,N/A / N/A,45.85,Moderate
DSC 96 - Workshop in Data Science (A),WI21,17,14,85.7,100.0,2.93,N/A / N/A,48.79,Moderate
DSC 10 - Principles of Data Science (A),FA20,171,116,99.1,100.0,5.9,B+ (3.68) / B (3.17),27.90000000000001,Easy
DSC 102 - Systems for Scalable Analytics (B),FA20,81,24,52.4,61.9,14.12,B (3.00) / B (3.14),46.56,Moderate
DSC 104 - Beyond Relational Data Mgmt (A),FA20,23,6,83.3,83.3,8.17,A- (3.80) / A- (3.92),28.11,Easy
DSC 106 - Intro to Data Visualization (A),FA20,115,49,67.3,65.3,10.58,B+ (3.51) / B (3.27),36.54,Easy
DSC 170 - Spatial Data Science and Appl (A),FA20,37,5,100.0,100.0,7.3,B+ (3.60) / A- (3.80),27.89999999999999,Easy
DSC 180A - Data Science Project I (A),FA20,96,24,91.3,91.3,10.14,B+ (3.50) / A- (3.72),37.02000000000001,Easy
DSC 180A - Data Science Project I (B),FA20,121,30,75.9,89.7,10.71,B+ (3.59) / B+ (3.65),33.93000000000001,Easy
DSC 190 - Topics in Data Science (A),FA20,16,6,100.0,100.0,12.1,B (3.20) / N/A,76.3,Very Difficult
DSC 190 - Topics in Data Science (B),FA20,25,9,100.0,100.0,3.39,A (4.00) / A- (3.98),10.570000000000002,Very Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA20,153,57,94.5,92.6,11.46,B+ (3.68) / B (3.14),45.18000000000001,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),FA20,46,22,81.0,81.0,11.64,B+ (3.52) / B (3.16),42.12,Moderate
DSC 40A - Theor Fndtns of Data Sci I (B),FA20,49,18,76.5,76.5,11.21,B (3.29) / B (3.26),34.230000000000004,Easy
DSC 40A - Theor Fndtns of Data Sci I (C),FA20,42,14,83.3,66.7,11.33,B (3.10) / B (3.04),35.19,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA20,77,27,96.0,100.0,5.86,A- (3.75) / B+ (3.46),23.380000000000003,Easy
DSC 80 - Practice of Data Science (A),FA20,61,19,84.2,89.5,13.66,B+ (3.58) / B (3.16),49.38,Moderate
DSC 95 - Tutor Appshp in Data Science (A),FA20,9,7,100.0,100.0,1.5,N/A / N/A,44.5,Moderate
DSC 96 - Workshop in Data Science (A),FA20,48,38,92.1,97.4,1.34,A (4.00) / N/A,44.02,Moderate
DSC 10 - Principles of Data Science (A),S320,37,7,100.0,100.0,7.07,A (4.00) / B+ (3.44),32.410000000000004,Easy
DSC 10 - Principles of Data Science (A),SP20,137,56,94.6,100.0,7.11,A- (3.76) / A- (3.74),21.729999999999997,Easy
DSC 100 - Intro to Data Management (A),SP20,90,35,45.7,31.4,7.64,B (3.14) / A- (3.92),46.31999999999999,Moderate
DSC 106 - Intro to Data Visualization (A),SP20,106,34,60.6,57.6,11.0,B+ (3.52) / A- (3.72),39.00000000000001,Easy
DSC 120 - Signal Processing/Data Analys (A),SP20,68,19,78.9,89.5,9.39,A- (3.70) / B+ (3.63),29.570000000000007,Easy
DSC 160 - Data Science and the Arts (A),SP20,89,23,100.0,100.0,5.59,A (4.00) / A- (3.83),20.169999999999995,Easy
DSC 180B - Data Science Project II (A),SP20,34,5,80.0,100.0,10.1,A (4.00) / A- (3.86),33.1,Easy
DSC 180B - Data Science Project II (B),SP20,42,8,100.0,100.0,7.17,B (3.00) / A- (3.83),46.41,Moderate
DSC 190 - Topics in Data Science (A),SP20,123,42,92.1,92.1,7.08,A- (3.79) / A- (3.90),24.54,Easy
DSC 190 - Topics in Data Science (B),SP20,35,7,85.7,100.0,5.64,B+ (3.67) / A- (3.95),25.320000000000007,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP20,141,50,90.0,94.0,12.1,B+ (3.57) / B+ (3.58),36.6,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),SP20,60,15,80.0,100.0,6.1,B+ (3.30) / B (3.27),18.9,Very Easy
DSC 40A - Theor Fndtns of Data Sci I (B),SP20,43,24,91.7,87.5,8.08,B+ (3.41) / B+ (3.50),26.94,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP20,98,39,94.6,100.0,6.24,A- (3.80) / B+ (3.68),21.11999999999999,Easy
DSC 80 - Practice of Data Science (A),SP20,117,45,90.5,78.6,14.31,B+ (3.40) / B+ (3.39),43.13,Moderate
DSC 95 - Tutor Appshp in Data Science (A),SP20,13,3,100.0,100.0,3.17,A (4.00) / N/A,49.51,Moderate
DSC 96 - Workshop in Data Science (A),SP20,7,5,100.0,100.0,2.5,N/A / N/A,47.5,Moderate
DSC 10 - Principles of Data Science (A),WI20,132,58,98.2,100.0,7.46,B+ (3.56) / B+ (3.32),27.180000000000003,Easy
DSC 100 - Intro to Data Management (A),WI20,127,54,35.8,40.4,6.69,B (3.21) / B+ (3.59),31.47,Easy
DSC 102 - Systems for Scalable Analytics (A),WI20,140,116,84.5,83.6,8.09,B+ (3.31) / B+ (3.64),34.17,Easy
DSC 106 - Intro to Data Visualization (A),WI20,92,32,48.4,48.4,12.44,B+ (3.42) / B (3.04),44.92,Moderate
DSC 155 - Hidden Data in Random Matrices (A),WI20,9,7,100.0,100.0,8.79,B (3.14) / N/A,66.37,Difficult
DSC 170 - Spatial Data Science and Appl (A),WI20,32,14,92.9,100.0,11.93,B (3.07) / A- (3.72),55.290000000000006,Moderate
DSC 180A - Data Science Project I (A),WI20,34,12,80.0,100.0,9.3,B+ (3.60) / B+ (3.57),28.500000000000004,Easy
DSC 180A - Data Science Project I (B),WI20,45,16,92.9,100.0,7.64,B+ (3.43) / B+ (3.37),24.120000000000005,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI20,136,63,71.4,56.4,11.59,B (3.07) / B (3.19),38.370000000000005,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),WI20,98,30,85.2,88.5,11.69,B (3.00) / C+ (2.67),41.67,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),WI20,99,40,89.5,100.0,5.58,B (3.29) / B+ (3.53),23.94,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI20,57,18,100.0,100.0,6.06,B+ (3.61) / B- (2.94),31.58,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),WI20,37,12,80.0,90.0,5.1,B (3.25) / B (3.01),20.1,Easy
DSC 80 - Practice of Data Science (A),WI20,96,29,88.5,80.8,13.58,B (3.27) / B- (2.90),48.14000000000001,Moderate
DSC 90 - Seminar in Data Science (A),WI20,11,4,100.0,100.0,1.0,A (4.00) / N/A,43.0,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI20,9,7,100.0,100.0,1.07,N/A / N/A,43.21,Moderate
DSC 96 - Workshop in Data Science (A),WI20,19,12,100.0,100.0,1.83,B+ (3.33) / N/A,45.49,Moderate
DSC 96 - Workshop in Data Science (B),WI20,18,13,100.0,100.0,1.73,A (4.00) / N/A,45.19,Moderate
DSC 10 - Principles of Data Science (A),FA19,120,72,89.7,82.4,7.31,B+ (3.33) / B- (2.94),29.73,Easy
DSC 10 - Principles of Data Science (B),FA19,113,65,95.0,88.1,7.85,B+ (3.37) / B- (2.91),32.74999999999999,Easy
DSC 100 - Intro to Data Management (A),FA19,144,39,81.6,78.9,6.08,B+ (3.44) / A- (3.71),26.34,Easy
DSC 106 - Intro to Data Visualization (A),FA19,118,40,52.5,52.5,10.9,B (3.21) / B (3.14),34.1,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),FA19,111,56,86.8,78.4,11.5,B (3.17) / B- (2.98),38.29999999999999,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),FA19,130,57,84.6,82.4,14.19,B- (2.92) / C+ (2.69),47.17,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),FA19,114,53,84.0,92.0,7.66,B (3.06) / B- (2.80),28.18,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA19,52,17,100.0,100.0,8.26,B+ (3.44) / B- (2.83),36.98,Easy
DSC 80 - Practice of Data Science (A),FA19,127,39,94.3,100.0,13.64,B+ (3.40) / B (3.01),48.720000000000006,Moderate
DSC 95 - Tutor Appshp in Data Science (A),FA19,22,16,100.0,100.0,1.0,A (4.00) / N/A,43.0,Moderate
DSC 96 - Workshop in Data Science (A),FA19,14,9,100.0,100.0,0.72,A (4.00) / N/A,42.16,Moderate
DSC 96 - Workshop in Data Science (B),FA19,12,6,83.3,100.0,1.17,A (4.00) / N/A,43.51,Moderate
DSC 10 - Principles of Data Science (A),S219,51,10,88.9,100.0,10.94,A- (3.70) / B- (2.86),49.620000000000005,Moderate
DSC 40B - Theor Fndtns of Data Sci II (A),S119,33,10,100.0,100.0,6.9,B+ (3.30) / B (3.09),24.9,Easy
DSC 10 - Principles of Data Science (A),SP19,103,46,88.6,79.5,7.68,B+ (3.50) / B- (2.96),33.84,Easy
DSC 10 - Principles of Data Science (B),SP19,79,37,96.9,93.8,8.25,B+ (3.53) / B- (2.96),36.15,Easy
DSC 170 - Spatial Data Science and Appl (A),SP19,51,14,100.0,100.0,11.17,B+ (3.56) / B+ (3.66),36.51,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),SP19,152,59,88.9,85.2,9.02,B (3.20) / B- (2.80),35.06,Easy
DSC 30 - DataStrc/Algrthms for Data Sci (A),SP19,224,86,72.2,78.7,15.01,B (3.16) / C+ (2.66),55.03,Moderate
DSC 40A - Theor Fndtns of Data Sci I (A),SP19,73,37,85.3,84.8,8.85,B (3.24) / B- (2.89),33.550000000000004,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),SP19,86,26,88.5,92.3,6.27,B (3.04) / B (3.26),25.409999999999997,Easy
DSC 40B - Theor Fndtns of Data Sci II (B),SP19,23,7,83.3,100.0,6.17,B+ (3.33) / B (3.26),19.910000000000007,Very Easy
DSC 80 - Practice of Data Science (A),SP19,37,10,70.0,100.0,15.5,B+ (3.40) / B (3.08),52.9,Moderate
DSC 80 - Practice of Data Science (B),SP19,49,17,70.6,88.2,14.38,B- (2.71) / B- (2.74),44.040000000000006,Moderate
DSC 96 - Workshop in Data Science (A),SP19,25,13,100.0,100.0,0.65,B (3.00) / N/A,41.95,Moderate
DSC 10 - Principles of Data Science (A),WI19,164,77,97.0,95.5,6.98,B+ (3.66) / B (3.27),28.74000000000001,Easy
DSC 20 - Prgrmng/DataStruc for Data Sci (A),WI19,181,81,94.8,87.0,9.23,B+ (3.34) / B- (2.95),35.489999999999995,Easy
DSC 40A - Theor Fndtns of Data Sci I (A),WI19,64,28,92.0,96.0,8.17,B (3.09) / B- (2.81),30.109999999999992,Easy
DSC 40A - Theor Fndtns of Data Sci I (B),WI19,49,28,89.3,96.4,7.5,B+ (3.36) / B- (2.81),33.5,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),WI19,82,31,64.0,84.0,7.46,B- (2.96) / B (3.12),27.180000000000003,Easy
DSC 80 - Practice of Data Science (A),WI19,24,6,83.3,83.3,13.83,C+ (2.67) / B- (2.98),50.790000000000006,Moderate
DSC 80 - Practice of Data Science (B),WI19,82,31,96.8,96.8,13.79,B+ (3.48) / B- (2.99),51.17,Moderate
DSC 95 - Tutor Appshp in Data Science (A),WI19,17,6,100.0,100.0,1.3,N/A / N/A,43.9,Moderate
DSC 96 - Workshop in Data Science (A),WI19,13,7,80.0,80.0,2.1,A (4.00) / N/A,46.3,Moderate
DSC 96 - Workshop in Data Science (C),WI19,7,5,100.0,100.0,2.9,A (4.00) / N/A,48.7,Moderate
DSC 10 - Principles of Data Science (A),FA18,140,61,98.3,98.3,7.75,B+ (3.48) / B- (2.94),34.05,Easy
DSC 10 - Principles of Data Science (B),FA18,143,54,96.0,97.9,7.34,B+ (3.40) / B- (2.91),31.82,Easy
DSC 20 - Intro to Data Structures (A),FA18,78,22,95.5,77.3,11.23,B+ (3.41) / B- (2.83),45.29,Moderate
DSC 30 - Representations of Data (A),FA18,73,39,86.8,89.2,14.29,B (3.11) / C+ (2.69),51.26999999999999,Moderate
DSC 30 - Representations of Data (B),FA18,15,3,66.7,66.7,14.5,B (3.00) / N/A,83.5,Very Difficult
DSC 40A - Theor Fndtns of Data Sci I (A),FA18,64,36,91.2,100.0,7.53,B (3.29) / B- (2.91),30.19,Easy
DSC 40A - Theor Fndtns of Data Sci I (C),FA18,30,14,100.0,100.0,8.79,B (3.29) / B- (2.91),33.97,Easy
DSC 40B - Theor Fndtns of Data Sci II (A),FA18,24,15,93.3,100.0,7.57,B- (2.79) / C+ (2.59),26.710000000000004,Easy
DSC 10 - Principles of Data Science (A),SP18,117,45,93.2,90.9,6.87,B+ (3.62) / B- (2.90),35.010000000000005,Easy
DSC 20 - Intro to Data Structures (A),SP18,55,22,85.0,90.0,9.45,B+ (3.62) / B- (2.81),44.55,Moderate
DSC 20 - Intro to Data Structures (B),SP18,67,32,92.9,92.9,11.61,B+ (3.43) / B- (2.81),47.23,Moderate
DSC 30 - Representations of Data (A),SP18,60,25,91.3,95.7,12.24,B+ (3.35) / B- (2.88),46.120000000000005,Moderate
DSC 10 - Introduction to Programming (C),WI18,53,25,95.7,95.7,6.24,B+ (3.59) / B (3.18),26.919999999999995,Easy
DSC 10 - Introduction to Programming (D),WI18,112,49,95.7,93.6,7.27,B+ (3.59) / B (3.18),30.00999999999999,Easy
DSC 20 - Intro to Data Structures (B),WI18,81,38,97.2,97.1,9.89,B+ (3.43) / B (3.29),32.470000000000006,Easy
DSC 10 - Introduction to Programming (A),FA17,37,19,94.7,100.0,8.18,B (3.29) / B- (2.87),32.94,Easy
DSC 10 - Introduction to Programming (B),FA17,37,17,93.8,100.0,6.63,B+ (3.44) / B (3.06),27.489999999999995,Easy
DSC 10 - Introduction to Programming (C),FA17,39,15,100.0,100.0,8.5,B (3.29) / B- (2.87),33.9,Easy
